Id,fare
0,15.618002
1,25.392173
2,10.697894
3,11.730608
4,12.629893
5,9.779163
6,17.045579
7,15.887707
8,10.217205
9,7.089379
10,9.309582
11,14.580458
12,9.471037
13,25.727874
14,16.502256
15,8.452898
16,7.435153
17,10.533876
18,7.703211
19,27.975736
20,7.462309
21,7.614029
22,8.917962
23,48.558248
24,7.118442
25,13.368340
26,9.541133
27,11.765307
28,8.216378
29,10.246841
30,7.256189
31,11.229962
32,7.938955
33,11.789405
34,14.701367
35,22.415333
36,11.241036
37,10.234503
38,9.481706
39,10.997866
40,6.235756
41,13.342719
42,8.265253
43,5.931150
44,51.306085
45,11.599214
46,18.111855
47,7.095816
48,9.686248
49,22.340496
50,13.645070
51,37.322426
52,9.638390
53,9.027900
54,7.876346
55,8.620309
56,8.513567
57,13.233122
58,12.335346
59,13.032545
60,14.868133
61,12.892621
62,8.568828
63,8.729534
64,7.314843
65,7.229211
66,11.817749
67,11.474263
68,7.776397
69,22.664204
70,16.714468
71,9.152222
72,8.378616
73,9.176770
74,8.691826
75,10.261891
76,5.783668
77,12.634465
78,26.932882
79,9.035694
80,10.959081
81,8.013315
82,10.407345
83,10.031314
84,7.258654
85,13.283190
86,12.972137
87,10.898259
88,12.068725
89,12.922610
90,9.292497
91,7.652968
92,14.974243
93,13.190421
94,11.075758
95,9.840054
96,29.910809
97,14.088277
98,23.493144
99,8.782065
100,7.847767
101,6.704008
102,7.413690
103,12.133565
104,18.067820
105,25.553420
106,9.128553
107,8.659301
108,12.107934
109,10.786551
110,11.384549
111,7.097523
112,8.162848
113,7.757735
114,13.855241
115,9.663389
116,7.622310
117,9.713227
118,7.834952
119,7.926519
120,9.355280
121,12.196558
122,9.998770
123,10.529057
124,9.433777
125,6.458294
126,9.179388
127,8.563905
128,10.838515
129,17.676822
130,7.491231
131,9.835789
132,12.210460
133,8.980753
134,9.134298
135,9.434316
136,6.987795
137,10.963043
138,14.299280
139,9.215083
140,9.836427
141,8.203632
142,11.737791
143,11.806826
144,12.275964
145,20.123674
146,7.792471
147,10.016020
148,13.665760
149,9.085300
150,17.049345
151,7.204231
152,16.623294
153,7.092570
154,8.288579
155,11.441906
156,15.064950
157,16.353214
158,25.718354
159,7.393189
160,7.831807
161,7.420006
162,6.844894
163,7.435777
164,10.200348
165,13.520040
166,7.120597
167,13.925834
168,9.341032
169,12.589112
170,6.712564
171,7.778178
172,9.450101
173,12.378903
174,7.875542
175,10.980293
176,8.159855
177,15.653151
178,47.907943
179,13.772600
180,5.611917
181,8.394894
182,9.950841
183,11.702259
184,14.888804
185,23.801528
186,15.158036
187,35.870154
188,7.508289
189,9.295619
190,42.596642
191,36.820455
192,14.695799
193,13.393167
194,9.093114
195,20.579657
196,8.024567
197,10.218079
198,13.842331
199,6.914855
200,8.562934
201,7.235240
202,8.498350
203,7.454366
204,13.886280
205,35.723954
206,9.282804
207,7.965093
208,9.696046
209,8.520563
210,33.322481
211,25.874147
212,8.942426
213,12.781995
214,6.938022
215,14.175418
216,52.051001
217,10.493762
218,11.522716
219,9.239375
220,9.246308
221,8.706944
222,11.282657
223,6.460506
224,9.236475
225,23.894267
226,20.947576
227,11.027343
228,11.743362
229,9.560610
230,6.205564
231,10.507240
232,5.752371
233,29.605791
234,8.184541
235,24.540489
236,8.451799
237,9.081747
238,9.224342
239,8.496082
240,6.757180
241,6.485330
242,6.026729
243,15.865248
244,13.984689
245,7.071000
246,9.252062
247,12.735974
248,14.581126
249,14.075404
250,7.534227
251,8.400486
252,24.904987
253,8.286474
254,8.682439
255,10.556291
256,10.447085
257,12.066078
258,7.646261
259,22.295284
260,9.930304
261,18.082097
262,9.569685
263,20.346850
264,10.357927
265,11.905825
266,10.831780
267,18.138214
268,11.994294
269,8.830648
270,12.915930
271,10.156921
272,16.262179
273,7.324962
274,12.919959
275,21.268896
276,10.334675
277,10.617343
278,6.426076
279,9.275445
280,10.656854
281,49.715800
282,7.361644
283,18.338619
284,11.357123
285,8.933882
286,6.545918
287,6.290667
288,77.825059
289,16.586346
290,13.360879
291,9.282538
292,18.733688
293,20.225476
294,6.387844
295,7.809520
296,6.425153
297,17.836015
298,7.232524
299,11.872263
300,12.110516
301,18.613120
302,11.386982
303,10.310978
304,9.907540
305,11.904940
306,7.391189
307,8.312198
308,10.295227
309,8.694684
310,14.034974
311,17.473982
312,7.832873
313,11.248771
314,23.291641
315,7.720560
316,10.370161
317,36.300349
318,10.473378
319,5.646617
320,5.624651
321,10.459842
322,9.967652
323,9.284022
324,9.527813
325,12.183228
326,10.529613
327,8.465625
328,10.008209
329,6.193415
330,16.962291
331,14.250289
332,7.380960
333,12.788688
334,8.164769
335,7.113246
336,13.218680
337,7.441250
338,6.577752
339,11.429505
340,13.920679
341,11.129282
342,9.720016
343,7.194648
344,10.153150
345,14.725883
346,7.915222
347,13.070234
348,6.166924
349,8.759773
350,23.236701
351,15.390433
352,7.644776
353,9.910386
354,11.263996
355,14.708395
356,7.833021
357,14.009867
358,27.287924
359,8.483702
360,7.845752
361,9.271551
362,11.567620
363,9.266291
364,10.244017
365,8.912204
